"Country or Area","Year","Value"
"Slovenia","2012","291.47582668555"
"Slovenia","2011","278.727158538627"
"Slovenia","2010","263.905156533705"
"Slovenia","2009","248.394541385089"
"Slovenia","2008","230.515321849832"
"Slovenia","2007","210.767517433336"
"Slovenia","2006","184.281880456854"
"Slovenia","2005","156.150707888707"
"Slovenia","2004","130.198036732986"
"Slovenia","2003","107.952752245349"
"Slovenia","2002","78.6132406344576"
"Slovenia","2001","62.458994001131"
"Slovenia","2000","50.0405861747345"
"Slovenia","1999","36.7407335198879"
"Slovenia","1998","37.6937452686313"
"Slovenia","1997","41.3347783600447"
"Slovenia","1996","34.7990647452631"
"Slovenia","1995","35.8281168326316"
"Spain","2014","17053.3196602591"
"Spain","2013","17904.0621083611"
"Spain","2012","18793.6076126377"
"Spain","2011","18523.6062903239"
"Spain","2010","18197.0857090215"
"Spain","2009","15493.0674815234"
"Spain","2008","14335.5215426503"
"Spain","2007","11660.9212635085"
"Spain","2006","10936.9649530722"
"Spain","2005","9753.3731585204"
"Spain","2004","8863.41299250087"
"Spain","2003","8535.70103446375"
"Spain","2002","6739.28074152722"
"Spain","2001","8120.97904792068"
"Spain","2000","11430.3474858576"
"Spain","1999","9815.80739130073"
"Spain","1998","7771.81759284233"
"Spain","1997","7722.72448127769"
"Spain","1996","6546.41034880918"
"Spain","1995","5872.42404894803"
"Spain","1994","4373.88138999678"
"Spain","1993","2856.56421999034"
"Spain","1992","3494.576"
"Spain","1991","2756.352"
"Spain","1990","3039.92"
"Sweden","2014","807.113898493137"
"Sweden","2013","838.547681080345"
"Sweden","2012","869.965934367231"
"Sweden","2011","915.232503582705"
"Sweden","2010","950.239338230852"
"Sweden","2009","973.198782552507"
"Sweden","2008","968.039868684522"
"Sweden","2007","937.9870337146"
"Sweden","2006","913.246501243013"
"Sweden","2005","880.317198986918"
"Sweden","2004","856.754570964442"
"Sweden","2003","790.723755490292"
"Sweden","2002","743.108494019899"
"Sweden","2001","683.185018705769"
"Sweden","2000","631.374280769553"
"Sweden","1999","549.653418284821"
"Sweden","1998","435.271919839893"
"Sweden","1997","352.790414113182"
"Sweden","1996","235.266861590305"
"Sweden","1995","149.181976491656"
"Sweden","1994","87.0193356139135"
"Sweden","1993","38.4274224467359"
"Sweden","1992","11.8227795253305"
"Sweden","1991","9.35877837132"
"Sweden","1990","4.6023464916"
"Switzerland","2014","1500.97985242557"
"Switzerland","2013","1513.18889558984"
"Switzerland","2012","1489.04642491243"
"Switzerland","2011","1410.14949583308"
"Switzerland","2010","1329.36454880262"
"Switzerland","2009","1253.06674594747"
"Switzerland","2008","1243.0983664725"
"Switzerland","2007","1193.90984726763"
"Switzerland","2006","1118.29814628692"
"Switzerland","2005","1071.18513142457"
"Switzerland","2004","1020.50522043506"
"Switzerland","2003","898.483975115933"
"Switzerland","2002","803.180213703831"
"Switzerland","2001","723.992209096241"
"Switzerland","2000","625.941563760599"
"Switzerland","1999","530.462942961334"
"Switzerland","1998","456.533446170009"
"Switzerland","1997","361.68618285523"
"Switzerland","1996","297.545861927923"
"Switzerland","1995","245.89620249856"
"Switzerland","1994","81.6779946253792"
"Switzerland","1993","32.7910730891619"
"Switzerland","1992","15.6793393410913"
"Switzerland","1991","1.58946418440717"
"Switzerland","1990","0.02478119072"
"Turkey","2014","4916.55266956241"
"Turkey","2013","4470.25190734234"
"Turkey","2012","4256.85958676063"
"Turkey","2011","3432.68576844341"
"Turkey","2010","3054.34467146971"
"Turkey","2009","2111.28034281378"
"Turkey","2008","1896.13812499598"
"Turkey","2007","1713.19300956487"
"Turkey","2006","1424.18969214271"
"Turkey","2005","1146.88282866124"
"Turkey","2004","909.371796254491"
"Turkey","2003","628.798307196726"
"Turkey","2002","417.186727909241"
"Turkey","2001","232.003643733401"
"Turkey","2000","115.656211508405"
"Ukraine","2014","834.757472627407"
"Ukraine","2013","868.551471703737"
"Ukraine","2012","828.407569156847"
"Ukraine","2011","810.650493916803"
"Ukraine","2010","738.977291419172"
"Ukraine","2009","659.805110303369"
"Ukraine","2008","641.582141718256"
"Ukraine","2007","558.442175087503"
"Ukraine","2006","398.821407106301"
"Ukraine","2005","282.580606035746"
"Ukraine","2004","185.497656673785"
"Ukraine","2003","104.321261919908"
"Ukraine","2002","63.8016367628425"
"Ukraine","2001","28.669143566925"
"Ukraine","2000","20.0059435"
"Ukraine","1999","13.28774"
"Ukraine","1998","12.507495"
"Ukraine","1997","6.430905"
"United Kingdom","2014","16422.5567069798"
"United Kingdom","2013","16177.982913319"
"United Kingdom","2012","15794.7608253384"
"United Kingdom","2011","15235.3118308039"
"United Kingdom","2010","16716.0656141965"
"United Kingdom","2009","15796.4404951005"
"United Kingdom","2008","15066.7389204815"
"United Kingdom","2007","14562.7698246628"
"United Kingdom","2006","14103.9206011373"
"United Kingdom","2005","13180.6957078778"
"United Kingdom","2004","11944.9057227757"
"United Kingdom","2003","12830.7418524564"
"United Kingdom","2002","11388.3500602044"
"United Kingdom","2001","10891.3593508142"
"United Kingdom","2000","9883.83688026539"
"United Kingdom","1999","11466.7113743359"
"United Kingdom","1998","20075.1479882644"
"United Kingdom","1997","23105.010406412"
"United Kingdom","1996","20249.4389294305"
"United Kingdom","1995","19096.094344372"
"United Kingdom","1994","17593.4312103562"
"United Kingdom","1993","16505.692181327"
"United Kingdom","1992","15597.6333186753"
"United Kingdom","1991","14991.0490264127"
"United Kingdom","1990","14391.4266541955"
"United States of America","2014","157237.344889253"
"United States of America","2013","149922.393769351"
"United States of America","2012","147249.750868431"
"United States of America","2011","146080.595742668"
"United States of America","2010","141633.79781668"
"United States of America","2009","131990.986822223"
"United States of America","2008","133551.130676922"
"United States of America","2007","129425.751384679"
"United States of America","2006","118056.262911877"
"United States of America","2005","114052.747171076"
"United States of America","2004","112065.338532631"
"United States of America","2003","102658.087501434"
"United States of America","2002","110780.087009924"
"United States of America","2001","104598.382885389"
"United States of America","2000","109295.25441327"
"United States of America","1999","104296.898101356"
"United States of America","1998","107654.320599012"
"United States of America","1997","89069.665030836"
"United States of America","1996","79480.0704111592"
"United States of America","1995","71273.9259106657"
"United States of America","1994","53246.6549742824"
"United States of America","1993","47500.2622669721"
"United States of America","1992","47427.6621761866"
"United States of America","1991","41618.4135880141"
"United States of America","1990","46288.8141837174"

